Operation: Coordinator Operation, Duration: 0.0001249 seconds, Memory Usage: 41332 KB
Operation: Client READ, Duration: 6.9944e-05 seconds, Memory Usage: 41220 KB
Operation: Node 2 Operation , Duration: 0.000136122 seconds, Memory Usage: 41120 KB
Operation: Node 1 Operation , Duration: 0.000136112 seconds, Memory Usage: 40980 KB
Operation: Node 2 Operation , Duration: 0.000111114 seconds, Memory Usage: 41120 KB
Operation: Node 1 Operation , Duration: 2.8194e-05 seconds, Memory Usage: 40980 KB
Operation: Node 2 Operation , Duration: 4.7571e-05 seconds, Memory Usage: 41120 KB
Operation: Client UPDATE, Duration: 0.000240091 seconds, Memory Usage: 41220 KB
Operation: Coordinator Operation, Duration: 0.000257836 seconds, Memory Usage: 41332 KB
Operation: Node 1 Operation , Duration: 0.000111374 seconds, Memory Usage: 40980 KB
Operation: Coordinator Operation, Duration: 0.000117987 seconds, Memory Usage: 41332 KB
Operation: Client READ 2, Duration: 0.000108829 seconds, Memory Usage: 41220 KB
Operation: Node 2 Operation , Duration: 0.000119519 seconds, Memory Usage: 41248 KB
Operation: Node 1 Operation , Duration: 0.000102888 seconds, Memory Usage: 40980 KB
Operation: Node 2 Operation , Duration: 5.3513e-05 seconds, Memory Usage: 41248 KB
Operation: Node 1 Operation , Duration: 2.114e-05 seconds, Memory Usage: 40980 KB
Operation: Node 2 Operation , Duration: 3.7562e-05 seconds, Memory Usage: 41248 KB
Operation: Client DELETE, Duration: 0.000169135 seconds, Memory Usage: 41220 KB
Operation: Coordinator Operation, Duration: 0.000188984 seconds, Memory Usage: 41332 KB
Operation: Total Execution, Duration: 1.17642 seconds, Memory Usage: 41220 KB
Operation: Node 1 Operation , Duration: 0.00100469 seconds, Memory Usage: 38584 KB
Operation: Node 2 Operation , Duration: 0.00107874 seconds, Memory Usage: 38460 KB
Operation: Node 1 Operation , Duration: 6.4538e-05 seconds, Memory Usage: 38584 KB
Operation: Node 2 Operation , Duration: 0.00010076 seconds, Memory Usage: 38460 KB
Operation: Coordinator Operation, Duration: 0.00128692 seconds, Memory Usage: 38532 KB
Operation: Client CREATE, Duration: 0.00133212 seconds, Memory Usage: 38600 KB
Operation: Node 1 Operation , Duration: 0.000224867 seconds, Memory Usage: 38584 KB
Operation: Coordinator Operation, Duration: 0.000164847 seconds, Memory Usage: 38532 KB
Operation: Node 2 Operation , Duration: 0.000204095 seconds, Memory Usage: 38460 KB
Operation: Client READ, Duration: 7.7274e-05 seconds, Memory Usage: 38600 KB
Operation: Node 1 Operation , Duration: 0.000116572 seconds, Memory Usage: 38584 KB
Operation: Node 2 Operation , Duration: 9.4798e-05 seconds, Memory Usage: 38460 KB
Operation: Node 1 Operation , Duration: 2.2886e-05 seconds, Memory Usage: 38584 KB
Operation: Node 2 Operation , Duration: 3.9408e-05 seconds, Memory Usage: 38460 KB
Operation: Client UPDATE, Duration: 0.000182793 seconds, Memory Usage: 38600 KB
Operation: Coordinator Operation, Duration: 0.000204747 seconds, Memory Usage: 38532 KB
Operation: Node 1 Operation , Duration: 9.8025e-05 seconds, Memory Usage: 38584 KB
Operation: Node 2 Operation , Duration: 0.000109037 seconds, Memory Usage: 38588 KB
Operation: Coordinator Operation, Duration: 9.8115e-05 seconds, Memory Usage: 38532 KB
Operation: Client READ 2, Duration: 8.8887e-05 seconds, Memory Usage: 38600 KB
Operation: Node 2 Operation , Duration: 6.0921e-05 seconds, Memory Usage: 38588 KB
Operation: Node 1 Operation , Duration: 9.5099e-05 seconds, Memory Usage: 38584 KB
Operation: Node 1 Operation , Duration: 1.8206e-05 seconds, Memory Usage: 38584 KB
Operation: Node 2 Operation , Duration: 3.8867e-05 seconds, Memory Usage: 38588 KB
Operation: Coordinator Operation, Duration: 0.00016092 seconds, Memory Usage: 38532 KB
Operation: Client DELETE, Duration: 0.000144025 seconds, Memory Usage: 38600 KB
Operation: Total Execution, Duration: 1.25722 seconds, Memory Usage: 38600 KB
Operation: Node 1 Operation , Duration: 7.6556e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 0.000100505 seconds, Memory Usage: 40884 KB
Operation: Node 1 Operation , Duration: 2.0472e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 3.8028e-05 seconds, Memory Usage: 40884 KB
Operation: Client CREATE, Duration: 0.000230451 seconds, Memory Usage: 41136 KB
Operation: Coordinator Operation, Duration: 0.000218306 seconds, Memory Usage: 40744 KB
Operation: Node 1 Operation , Duration: 7.8821e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 7.1226e-05 seconds, Memory Usage: 40884 KB
Operation: Client READ, Duration: 3.4971e-05 seconds, Memory Usage: 41136 KB
Operation: Coordinator Operation, Duration: 3.3398e-05 seconds, Memory Usage: 40744 KB
Operation: Node 1 Operation , Duration: 7.5294e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 6.2879e-05 seconds, Memory Usage: 40884 KB
Operation: Node 1 Operation , Duration: 1.2686e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 1.6313e-05 seconds, Memory Usage: 40884 KB
Operation: Client UPDATE, Duration: 0.000133392 seconds, Memory Usage: 41136 KB
Operation: Coordinator Operation, Duration: 0.00012755 seconds, Memory Usage: 40744 KB
Operation: Node 1 Operation , Duration: 7.3159e-05 seconds, Memory Usage: 40756 KB
Operation: Coordinator Operation, Duration: 5.2577e-05 seconds, Memory Usage: 40744 KB
Operation: Client READ 2, Duration: 5.0413e-05 seconds, Memory Usage: 41136 KB
Operation: Node 2 Operation , Duration: 5.4752e-05 seconds, Memory Usage: 41012 KB
Operation: Node 1 Operation , Duration: 7.2267e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 4.8349e-05 seconds, Memory Usage: 41012 KB
Operation: Node 1 Operation , Duration: 1.0933e-05 seconds, Memory Usage: 40756 KB
Operation: Node 2 Operation , Duration: 1.7145e-05 seconds, Memory Usage: 41012 KB
Operation: Coordinator Operation, Duration: 0.000123933 seconds, Memory Usage: 40744 KB
Operation: Client DELETE, Duration: 0.000116177 seconds, Memory Usage: 41136 KB
Operation: Total Execution, Duration: 1.15114 seconds, Memory Usage: 41136 KB
Operation: Node 1 Operation , Duration: 0.000858352 seconds, Memory Usage: 38316 KB
Operation: Node 2 Operation , Duration: 0.000873991 seconds, Memory Usage: 38168 KB
Operation: Node 1 Operation , Duration: 2.4476e-05 seconds, Memory Usage: 38316 KB
Operation: Node 2 Operation , Duration: 3.9674e-05 seconds, Memory Usage: 38168 KB
Operation: Coordinator Operation, Duration: 0.00248794 seconds, Memory Usage: 38236 KB
Operation: Client CREATE, Duration: 0.00249201 seconds, Memory Usage: 38392 KB
Operation: Node 1 Operation , Duration: 0.000101428 seconds, Memory Usage: 38316 KB
Operation: Node 2 Operation , Duration: 9.145e-05 seconds, Memory Usage: 38168 KB
Operation: Client READ, Duration: 3.9644e-05 seconds, Memory Usage: 38392 KB
Operation: Coordinator Operation, Duration: 6.2657e-05 seconds, Memory Usage: 38236 KB
Operation: Node 1 Operation , Duration: 6.9779e-05 seconds, Memory Usage: 38316 KB
Operation: Node 2 Operation , Duration: 6.3037e-05 seconds, Memory Usage: 38168 KB
Operation: Node 1 Operation , Duration: 2.7501e-05 seconds, Memory Usage: 38316 KB
Operation: Node 2 Operation , Duration: 2.7361e-05 seconds, Memory Usage: 38168 KB
